H,Lat (um),CD (um^2),CV (um^2),RD (um^2),RV (um^2)
L,1100,48932.0,67507.0,0.0,0.0
L,1000,104098.0,158144.0,0.0,0.0
L,900,94675.0,147996.0,0.0,0.0
L,800,209386.0,156049.0,0.0,0.0
L,700,309797.0,219948.0,0.0,0.0
L,600,2431272.0,209604.0,84464.0,0.0
L,500,302025.0,178391.0,0.0,0.0
L,400,279066.0,189598.0,0.0,0.0
L,300,n.d.,n.d.,n.d.,n.d.
L,200,n.d.,n.d.,n.d.,n.d.
L,100,n.d.,n.d.,n.d.,n.d.
R,100,n.d.,n.d.,n.d.,n.d.
R,200,n.d.,n.d.,n.d.,n.d.
R,300,0.0,0.0,0.0,0.0
R,400,67828.0,122652.0,0.0,0.0
R,500,45827.0,71974.0,0.0,0.0
R,600,36905.0,110893.0,0.0,0.0
R,700,0.0,114339.0,0.0,0.0
R,800,0.0,54830.0,0.0,0.0
R,900,0.0,67275.0,0.0,0.0
R,1000,0.0,43855.0,0.0,0.0
R,1100,0.0,0.0,0.0,0.0
