Subject,NCM_Lesion_Size,LH_Lesion_Size,RH_Lesion_Size,Hippocampus,FieldL,NCL,Cerebellum,CM,Regression,HVC
GraWhi4040F,328205600,25928500,302277100,0,0,0,0,0,0,0
XXXHpi0038M,228666750,152783250,75883500,2,0,0,1,0,1,0
BlaGre1349M,649796125,208257000,441539125,1,0,1,0,0,1,0
GreBla3404M,595298075,521660275,73637800,1,0,0,0,0,1,0
GreBlu5039F,379632875,319405175,60227700,2,1,0,1,1,1,0
XXXOra0037F,642423725,370265100,272158625,0,0,2,0,0,0,0
HpiGre0651M,954978050,395510075,559467975,0,0,1,0,1,1,1
WhiBlu5805F,625743050,338390325,317251125,0,2,3,0,1,0,0
XXXBlu0031M,605354525,394386175,210968350,0,1,1,0,1,0,0
RedHpi0710F,412716125,195540875,223036550,1,0,2,0,1,0,1
