,Subject,Counts,Rewarded,Treatment
0,GreBlu5039F,"(177, 331)",False,NCM
1,GreBlu5039F,"(67, 221)",True,NCM
2,GreBla3404M,"(237, 391)",False,NCM
3,GreBla3404M,"(139, 293)",True,NCM
4,GraWhi4040F,"(193, 347)",False,NCM
5,GraWhi4040F,"(180, 334)",True,NCM
6,BlaGre1349M,"(190, 344)",False,NCM
7,BlaGre1349M,"(85, 239)",True,NCM
8,XXXHpi0038M,"(1050, 1202)",False,NCM
9,XXXHpi0038M,"(335, 479)",True,NCM
10,XXXOra0037F,"(198, 352)",False,NCM
11,XXXOra0037F,"(120, 274)",True,NCM
12,XXXBlu0031M,"(68, 222)",False,NCM
13,XXXBlu0031M,"(40, 194)",True,NCM
14,HpiGre0651M,"(92, 246)",False,NCM
15,HpiGre0651M,"(78, 232)",True,NCM
16,RedHpi0710F,"(86, 240)",False,NCM
17,RedHpi0710F,"(36, 190)",True,NCM
18,WhiBlu5805F,"(116, 270)",False,NCM
19,WhiBlu5805F,"(75, 229)",True,NCM
20,BluWhi0398F,"(306, 460)",False,HVC
21,BluWhi0398F,"(198, 352)",True,HVC
22,BluWhi3230M,"(252, 406)",False,HVC
23,BluWhi3230M,"(152, 306)",True,HVC
24,GraYel7337F,"(200, 354)",False,HVC
25,GraYel7337F,"(93, 247)",True,HVC
26,GreWhi2703M,"(468, 622)",False,HVC
27,GreWhi2703M,"(132, 286)",True,HVC
28,HpiGre8613M,"(103, 257)",False,HVC
29,HpiGre8613M,"(55, 209)",True,HVC
30,BluGre4315M,"(538, 692)",False,HVC
31,BluGre4315M,"(151, 305)",True,HVC
32,BluRed8773M,"(226, 380)",False,HVC
33,BluRed8773M,"(70, 224)",True,HVC
34,BluYel2571F,"(491, 645)",False,CTRL
35,BluYel2571F,"(160, 314)",True,CTRL
36,YelPur7906M,"(181, 335)",False,CTRL
37,YelPur7906M,"(73, 227)",True,CTRL
38,WhiWhi2526M,"(390, 544)",False,CTRL
39,WhiWhi2526M,"(202, 351)",True,CTRL
40,RedGra7912M,"(952, 1106)",False,CTRL
41,RedGra7912M,"(363, 517)",True,CTRL
